group,label,n,size_gb,chunk_gb,policy,seeds,source_gbps,down_gbps,peer_up_gbps,sink_gbps,memory_gbps,fabric_gbps,rack_gbps,rack_size,ordering,hop_delay_s,slots,root_mode,random_seed,slow_factor,source_memory_gbps,time_s,p50_s,p95_s,min_s,lower_bound_s,source_gb,peer_gb,cross_rack_gb,peak_source_gbps,peak_total_gbps,events,chunks,final_client_cache_gb,wall_seconds
limits,fabric_100_single,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,100.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,1400.0000200007103,1398.7625200007058,1399.8762700007098,1397.5250200007013,1400.0,14000.0,0.0,14000.0,10.0,10.0,111999,560,14000.0,3.4569353750000005
limits,fabric_10_p2p,100,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,10.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,1400.0000240346014,1368.7495861547368,1399.6312357356285,1276.2416452447521,1400.0,140.00000000001992,13860.000001060349,1399.9999999981305,10.0,10.000000000000005,111947,560,14000.0,16.811913957999998
limits,fabric_10_single,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,10.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,1400.0000200007103,1398.7625200007058,1399.8762700007098,1397.5250200007013,1400.0,14000.0,0.0,14000.0,10.0,10.0,111999,560,14000.0,3.480444834
limits,fabric_400_p2p,100,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,400.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,35.97591684995252,34.7062261549347,35.852067849952526,32.391952331030176,35.0,139.99999999995248,13859.999999436119,1400.0000000103162,10.0,400.00000000000017,111168,560,14000.0,16.843124458
limits,fabric_400_single,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,400.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,1400.0000200007103,1398.7625200007058,1399.8762700007098,1397.5250200007013,1400.0,14000.0,0.0,14000.0,10.0,10.0,111999,560,14000.0,3.453835667
limits,fast_source_200_p2p,100,140.0,0.25,p2p,1,200.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,100,fixed,0,1.0,1000000000.0,261.50200000000035,137.75101000000006,249.12690100000034,14.00002,14.0,139.9999999999997,13860.000000059106,1399.9999999996787,9.999999999999998,60.0,803,560,14000.0,0.6149429580000003
limits,fast_source_200_single,100,140.0,0.25,single,1,200.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,100,fixed,0,1.0,1000000000.0,70.00002,70.00002,70.00002,70.00002,70.0,13999.999999999969,0.0,13999.999999999969,200.0,200.0,1119,560,14000.0,0.2738404999999986
limits,memory_10_p2p,100,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,10.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,32.90200000000038,30.451010000000444,32.6794010000004,27.975000000000446,14.0,140.0000000002147,13859.999999007428,1399.9999999905344,10.0,500.0,57217,560,14000.0,8.858634208000002
limits,memory_10_single,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,10.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,1400.0000200007103,1398.7625200007058,1399.8762700007098,1397.5250200007013,1400.0,14000.0,0.0,14000.0,10.0,10.0,111999,560,14000.0,3.4637355419999984
limits,peer_upload_1_p2p,100,140.0,0.25,p2p,1,10.0,10.0,1.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,164.52700000024225,152.15101000023324,163.28940100024215,14.00002000000016,127.27272727272727,140.00000000000335,13859.999999547064,1399.9999999841539,10.0,99.0,57162,560,14000.0,8.502417583
limits,peer_upload_1_single,100,140.0,0.25,single,1,10.0,10.0,1.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,1400.0000200007103,1398.7625200007058,1399.8762700007098,1397.5250200007013,1400.0,14000.0,0.0,14000.0,10.0,10.0,111999,560,14000.0,3.454287375
limits,rack_2_local_p2p,100,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,2.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,73.3770000000056,71.68851000000518,73.25315100000553,70.00002000000484,14.0,140.00000000000966,13860.000000328926,1399.999999989754,2.0,210.0,106964,560,14000.0,8.623316166000002
limits,rack_2_local_single,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,2.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,7000.00002,6993.81252,6999.381270000001,6987.62502,1400.0,14000.0,0.0,14000.0,2.0,2.0,111999,560,14000.0,3.469452375000003
limits,rack_2_random_p2p,100,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,2.0,10,random,2e-05,1,fixed,42,1.0,1000000000.0,731.4407156528513,710.1672964379663,730.2541114594436,653.1077168128489,14.0,140.00000000008603,13860.000000023138,13300.000000060343,2.0,39.999999999999986,108248,560,14000.0,26.944106292
limits,rack_2_random_single,100,140.0,0.25,single,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,2.0,10,random,2e-05,1,fixed,42,1.0,1000000000.0,7000.00002,6993.81252,6999.381270000001,6987.62502,1400.0,14000.0,0.0,14000.0,2.0,2.0,111999,560,14000.0,3.4579701249999957
limits,sink_1_p2p,100,140.0,0.25,p2p,1,10.0,10.0,10.0,1.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,164.75200000025148,152.37601000024247,163.51440100025138,140.00002000021604,140.0,140.00000000021603,13859.999999529318,1399.999999984157,1.0,100.0,56658,560,14000.0,8.525105458000002
limits,sink_1_single,100,140.0,0.25,single,1,10.0,10.0,10.0,1.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,1.0,1000000000.0,14000.00002,13987.62502,13998.76252,13975.25002,1400.0,14000.0,0.0,14000.0,1.0,1.0,111999,560,14000.0,3.4182470830000007
limits,slow_peer_0.1_p2p,100,140.0,0.25,p2p,1,10.0,10.0,10.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,10,local,2e-05,1,fixed,0,0.1,1000000000.0,142.7020000000152,141.4635100000146,142.57815100001514,140.00002000001396,140.0,140.00000000001396,13860.00000006104,1399.9999999994418,1.0,102.0,111431,560,14000.0,6.488999833000001
